time,theta1,theta2,x1,y1,x2,y2
0.0,1.0471975511965976,1.0471975511965976,0.8660254037844386,-0.5000000000000001,1.7320508075688772,-1.0000000000000002
0.010005002501250625,1.046772375635451,1.0471975161783171,0.8658127377327217,-0.5003681676323637,1.7318381240080196,-1.000368197959084
0.02001000500250125,1.0454972723305107,1.0471969876485556,0.865174012944014,-0.5014717612451882,1.7311991349542941,-1.0014722492920296
0.030015007503751877,1.0433734984482725,1.0471947073298922,0.8641070499690026,-0.5033080629136272,1.7301310318165863,-1.0033105257724173
0.0400200100050025,1.040403174417166,1.0471885505987006,0.8626082522032419,-0.5058725167775655,1.7286291556536533,-1.005880311503741
0.05002501250625312,1.0365893048071892,1.047175502045767,0.8606726514918964,-0.5091587050948934,1.726687030490405,-1.0091778000981018
0.060030015007503754,1.0319358325754655,1.0471515960423445,0.8582939853156201,-0.5131582940682438,1.724296410608471,-1.0131980918712788
0.07003501750875438,1.0264476741863466,1.0471118751136577,0.8554647796322509,-0.517860995643372,1.7214473421967893,-1.0179351914725063
0.080040020010005,1.02013077735322,1.0470503241572662,0.8521764590763572,-0.5232545103447095,1.7181282399554987,-1.0233820072814837
0.09004502251125562,1.0129921886007196,1.046959793321271,0.8484194789094734,-0.529324463639248,1.7143259792796774,-1.029530353865089
0.10005002501250625,1.0050401238915108,1.0468319158362782,0.8441834759813984,-0.5360543432152786,1.7100260042006226,-1.036370959296478
0.11005502751375687,0.9962840418064224,1.046657021739237,0.8394574389937176,-0.5434254393365375,1.7052124515484115,-1.043893478512289
0.12006003001500751,0.9867347169333035,1.0464240497116983,0.8342298971923798,-0.5514167921186218,1.6998682911994791,-1.0520865144114824
0.13006503251625812,0.9764043139127268,1.0461204560146802,0.828489127858909,-0.5600051473152584,1.6939754818037973,-1.0609376488912525
0.14007003501750875,0.965306455786831,1.0457321274016969,0.8222233789024826,-0.5691649279305468,1.6875151411714389,-1.0704334848433898
0.15007503751875936,0.9534562854988798,1.0452432992354044,0.8154211051244866,-0.5788682244842611,1.6804677298316868,-1.080559700475911
0.16008004002001,0.9408705162224444,1.044636483213245,0.8080712144007258,-0.5890848092226926,1.6728132454346092,-1.0913011169660738
0.17008504252126064,0.9275674684401902,1.043892407871533,0.8001633206130085,-0.5997821774157379,1.6645314255291899,-1.1026417792964311
0.18009004502251125,0.9135670911175333,1.0429899754544742,0.7916879991862275,-0.6109256189950687,1.6556019553941674,-1.1145650498075752
0.19009504752376188,0.8988909643072793,1.0419062390844986,0.782637040396641,-0.6224783233167133,1.6460046770161627,-1.1270537131624938
0.2001000500250125,0.8835622808784019,1.0406164048501605,0.7730036951629172,-0.6344015189645086,1.6357197951709357,-1.140090089912038
0.21010505252626313,0.8676058074483671,1.039093861345914,0.7627829089578697,-0.64665464801683,1.6247280764668832,-1.153656155122932
0.22011005502751374,0.8510478237458305,1.037310240534985,0.7519715385975149,-0.6591955742716165,1.6130110370926607,-1.1677336574386763
0.23011505752876438,0.833916041419074,1.0352355127237998,0.7405685475623962,-0.6719808229118767,1.600551115540624,-1.1823042328918354
0.24012006003001501,0.8162395038201119,1.032838117139355,0.7285751758479313,-0.6849658481546039,1.5873318265322713,-1.1973495080281544
0.25012506253126565,0.7980484696387848,1.0300851318660398,0.7159950814519854,-0.698105323956611,1.5733378950228714,-1.2128511835983928
0.26013006503251623,0.7793742846696847,1.0269424804753389,0.7028344520563137,-0.7113534515293374,1.5585553678324617,-1.228791094442211
0.27013506753376687,0.760249244110583,1.0233751770151374,0.6891020848166918,-0.7246642786154766,1.5429717026154286,-1.2451512388750388
0.2801400700350175,0.740706450715694,1.0193476076370214,0.6748094349672752,-0.7379920233167475,1.5265758356559087,-1.261913771918512
0.29014507253626814,0.7207796741457952,1.0148238453364973,0.659970634984509,-0.7512913955038644,1.5093582308620663,-1.2790609588261002
0.3001500750375187,0.7005032138727908,1.0097679941557303,0.6446024848548317,-0.7645179111825807,1.4913109118871708,-1.296575088178082
0.31015507753876936,0.6799117698853443,1.0041445583915982,0.6287244162409926,-0.7776281942049318,1.4724274819772947,-1.3144383439479903
0.32016008004002,0.6590403246060464,0.9979188303357001,0.6123584336506268,-0.790580260781251,1.452703136184554,-1.3326326391757797
0.33016508254127064,0.6379240378707823,0.9910572879094496,0.5955290352991464,-0.8033337837509811,1.4321346696682098,-1.3511394176595206
0.3401700850425213,0.6165981545204742,0.9835279968944769,0.5782631151019979,-0.8158503353633763,1.410720486836209,-1.3699394295038125
0.35017508754377186,0.5950979259854624,0.9753010081778792,0.5605898490689737,-0.8280936064967688,1.388460615909617,-1.3890124895901135
0.3601800900450225,0.5734585443629218,0.9663487408696678,0.5425405673919116,-0.8400296022962898,1.3653567316865276,-1.4083372300609498
0.37018509254627313,0.5517150864254247,0.9566463416694044,0.5241486127013009,-0.8516268148686381,1.3414121877992664,-1.4278908592251223
0.38019009504752377,0.5299024658231422,0.9461720156491928,0.5054491856230225,-0.862856373189086,1.316632062416668,-1.4476489350405388
0.39019509754877435,0.5080553905156939,0.9349073176592014,0.48647917768327753,-0.8736921710079598,1.2910232158578,-1.4675851669574258
0.400200100050025,0.48620832179621004,0.9228373976255111,0.4672769908703681,-0.8841109736922927,1.264594358651513,-1.487671256542769
0.4102051025512756,0.46439543200029865,0.9099511949221554,0.44788234361272633,-0.894092504319308,1.2373561284533345,-1.507876784868627
0.42021010505252626,0.44265055902064254,0.8962415786288903,0.42833606373030575,-0.903619508702655,1.2093211741426289,-1.5281691522973428
